Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
4026179081117855488,7.98175081369433e-06,6796.18836,0.233502538071066,46,197,0.1395457858091717,-5.096771001436531e+36,1.0193542002873062e+36,74.0
4027747397961573889,2.646218345668989e-05,2638.21944996,0.45,207,460,0.08960372279357427,-230251598635619.22,46050319727651.8,91.0
4028427053699127040,0.00022796754392410309,2633.02381341,0.2975206611570248,36,121,0.26414972174742457,-7.09955317169309e+29,1.419910634338618e+29,79.0
4028701921959171840,6.203965444355854e-06,17601.40139824,0.5429403202328966,373,687,0.2756162605895563,-9.123700074960104e+44,1.824740014992021e+44,63.0
4029299190618134272,0.0001959674671514894,3354.14587637,0.3130434782608696,72,230,0.23837947194519815,-0.53788037,671.2470751315349,111.0
4029422834086627072,0.0007250846222006749,2799.90254984,0.37254901960784315,38,102,0.5114319082672693,0.0,560.3574511704996,119.0
4029506971304830209,21.96793879170645,2413.6540000200002,0.057692307692307696,3,52,0.24485448146104785,-48051.876620510455,10097.760221222265,101.0
4029507714735307777,10.764962202895049,1537.89995998,0.03773584905660377,2,53,0.19578486760499578,0.0,309.97968857991134,136.0
4029749871687083265,0.3569308783589129,3662.13654822,0.4287383177570093,367,856,0.3530500725057402,0.0,732.8550534977245,109.0
4030392204221219329,0.2113955969677107,1347.75800996,0.09411764705882353,8,85,0.20060300328917557,0.0,269.8528252414631,142.0
4030395639953224449,0.00014418167162828305,4413.76154738,0.17479674796747968,86,492,0.16765041110308856,-3.6498166397205726e+40,7.299633279441146e+39,69.0
4030555430101054209,0.00018384319050743743,3358.38032001,0.2644628099173554,32,121,0.32396940620922887,0.0,671.9937872138636,110.0
4030565764341697025,0.00024167993692933017,2789.87828996,0.4857142857142857,51,105,0.33277387890559357,-1.44827404,558.6290587689114,120.0
4030626027667524352,4.487880433705421e-05,3796.34803991,0.4978540772532189,116,233,0.21031675252704726,-4.121741441084269e+31,8.243482882168539e+30,78.0
4030635536196756737,1.365591394901833e-05,2581.61417484,0.5247295208655333,679,1294,0.09004561585690081,-22333915.03926577,4467299.6536458805,98.0
4030708912786799105,23.212538184531752,1612.84376999,0.03333333333333333,2,60,0.18407258567388543,0.0,327.4547428187078,135.0
4031173908980084736,0.00016559038732087315,5360.42572991,0.37777777777777777,85,225,0.2955127754384014,-22.821889999999996,1076.984215210721,107.0
4031181049693676544,0.0002118294321713871,4545.2423384,0.24172185430463577,73,302,0.21431149674844546,-6.606757080625443e+51,1.3213514161250886e+51,60.0
4031408429897920512,0.11778589473521127,1351.26659997,0.04878048780487805,4,82,0.15773482696751798,0.0,270.5181802359015,141.0
4031414524297538817,0.0035070839225566576,2726.79561774,0.36885245901639346,90,244,0.29800972841686774,-3.814648460127013e+74,7.629296920254027e+73,49.0
4031451549482615297,0.00030327140275051147,3124.54121527,0.38596491228070173,44,114,0.22521992676067307,-1.2220261530834536e+36,2.4440523061669072e+35,76.0
4031493134338259457,8.992806347894447e-06,9082.69828786,0.36156696664902066,683,1889,0.15578931088000272,-361.33694904,1889.110520434067,104.0
4031673021422897664,9.620392928064552e-06,1984.71719999,0.314410480349345,72,229,0.26823580578191725,-4.757535855498793e+29,9.515071710997587e+28,80.0
4032403303704824321,7.569292301425024e-05,2060.57051952,0.5515695067264574,123,223,0.10771694824648237,-125151.60896641097,25442.767769615777,100.0
4033614723417828608,8.077940687701539e-06,4602.23981649,0.22286821705426357,115,516,0.10866432372382691,-8.284851404487261e+65,1.6569702808974523e+65,52.0
4033639786957934336,0.0001913561070069747,2848.14185731,0.16778523489932887,25,149,0.21430027674509874,0.0,569.9048268355505,118.0
4034359562055356161,3.756297852198966e-06,5284.65441593,0.48936170212765956,391,799,0.15718066298065161,-inf,inf,22.5
4034786679304751616,1.5647614458552321,2521.07586938,0.38317757009345793,123,321,0.207952662593243,0.0,504.84635221170834,122.0
4035034554469394176,0.5448176272862861,2517.32079973,0.1670886075949367,66,395,0.10879672086341394,-2.389248067762669e+56,4.778496135525338e+55,58.0
4035430878731345664,0.0012063467290482617,2493.75041995,0.48314606741573035,43,89,0.46947165209293595,0.0,499.14084880324754,123.0
4036548677626662656,0.0001620070187823944,3296.87667987,0.46258503401360546,68,147,0.2425688657631533,0.0,659.7163991553591,112.0
4037073643537925121,0.2689285416457706,1540.4004996200001,0.1860986547085202,83,446,0.16394073168530773,0.0,308.40389350960794,137.0
4037121179310444801,3.70611655095473e-05,7237.92173826,0.48401253918495296,772,1595,0.10886125370337069,-inf,inf,22.5
4037179073830813185,0.00019106546413385586,2331.43490998,0.4246575342465753,31,73,0.24049222197611367,0.0,466.6200501603374,127.0
4037282461943784704,7.310157871333085e-05,4760.3656195,0.2698412698412698,136,504,0.11969817766605126,-1.1440306325052742e+39,2.2880612650105486e+38,72.0
4037511388357114368,7.975000452757925e-05,3552.34051692,0.4333683105981112,413,953,0.0878874716757286,-1.2664440917563375e+44,2.5328881835126753e+43,66.0
4037717032428033792,0.34588501315609566,1897.3229995,0.3217665615141956,102,317,0.22173984367853744,0.0,379.84247818366975,132.0
4037785885739608577,0.29233823158799066,1934.5792352600001,0.23228346456692914,59,254,0.22278076897369287,0.0,387.2653275450258,131.0
4038768306117031680,0.10276076914298268,1741.91425988,0.22,22,100,0.13495013004714926,0.0,348.674394155838,133.0
4039129759104249600,0.2339030078680698,1264.28919972,0.44360902255639095,59,133,0.5214934305671125,0.0,253.29764103619829,143.0
4039279455324236544,1.8382264615700603,1038.80741926,0.5535168195718655,181,327,0.47019884903837617,0.0,208.53387227803606,144.0
4040382575336130560,0.0,0.0,0.0,0,76,-inf,0.0,-inf,149.0
4040843843196854529,0.0002780067990421483,2151.70406,0.3220338983050847,19,59,0.3415739212958396,0.0,430.67358916527996,129.0
4041804592937345281,-4.891025791616133e-05,-776.34299969,0.23097826086956522,85,368,-0.07829853429026518,-8.064471175846046e+36,1.6128942351692094e+36,73.0
4041860229502600193,0.009977590873109397,2327.33599982,0.3917525773195876,38,97,0.4570029147105904,0.0,465.8389465805806,128.0
